ANSI_ST,ANSI_CNTY,ANSI_ST_CO,FAF,CNTY_NAME
06,NA,06,NA,California
06,023,06023,069,Humboldt
06,017,06017,062,El Dorado
06,047,06047,069,Merced
06,087,06087,064,Santa Cruz
06,083,06083,069,Santa Barbara
06,091,06091,069,Sierra
06,061,06061,062,Placer
06,015,06015,069,Del Norte
06,021,06021,069,Glenn
06,033,06033,069,Lake
06,001,06001,064,Alameda
06,027,06027,069,Inyo
06,031,06031,069,Kings
06,055,06055,064,Napa
06,041,06041,064,Marin
06,057,06057,062,Nevada
06,101,06101,062,Sutter
06,043,06043,069,Mariposa
06,051,06051,069,Mono
06,013,06013,064,Contra Costa
06,073,06073,063,San Diego
06,079,06079,069,San Luis Obispo
06,085,06085,064,Santa Clara
06,109,06109,069,Tuolumne
06,113,06113,062,Yolo
06,081,06081,064,San Mateo
06,107,06107,069,Tulare
06,039,06039,065,Madera
06,045,06045,069,Mendocino
06,075,06075,064,San Francisco
06,095,06095,064,Solano
06,053,06053,069,Monterey
06,099,06099,069,Stanislaus
06,025,06025,069,Imperial
06,069,06069,064,San Benito
06,097,06097,064,Sonoma
06,115,06115,062,Yuba
06,067,06067,062,Sacramento
06,005,06005,069,Amador
06,063,06063,069,Plumas
06,049,06049,069,Modoc
06,103,06103,069,Tehama
06,011,06011,069,Colusa
06,093,06093,069,Siskiyou
06,019,06019,065,Fresno
06,003,06003,069,Alpine
06,059,06059,061,Orange
06,035,06035,069,Lassen
06,007,06007,069,Butte
06,111,06111,061,Ventura
06,009,06009,069,Calaveras
06,077,06077,064,San Joaquin
06,105,06105,069,Trinity
06,029,06029,069,Kern
06,065,06065,061,Riverside
06,037,06037,061,Los Angeles
06,089,06089,069,Shasta
06,071,06071,061,San Bernardino
